#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:27:25;
7;
TA_SP15P2_ET1	0	5000	255,0,0;
CO_SP15P2_ET1	0	5000	0,64,0;
DBS_SP15P2_ET1	0	5000	0,0,128;
DBE_SP15P2_ET1	0	5000	128,0,128;
TA_SP15P3_ET1	0	5000	255,255,0;
CO_SP15P3_ET1	0	5000	255,128,128;
DBS_SP15P3_ET1	0	5000	0,255,0;

#!(s);Date;Time;TA_SP15P2_ET1;CO_SP15P2_ET1;DBS_SP15P2_ET1;DBE_SP15P2_ET1;TA_SP15P3_ET1;CO_SP15P3_ET1;DBS_SP15P3_ET1;
1730712721;04.11.2024;09:32:01;19.8;0;360;360;0;0;346;
1730713625;04.11.2024;09:47:05;19.5;0;346;367;0;0;338;
1730714528;04.11.2024;10:02:08;19.4;0;338;338;0;0;360;
1730715431;04.11.2024;10:17:11;19.1;0;346;346;0;0;346;
1730716334;04.11.2024;10:32:14;19.8;0;360;353;0;0;353;
1730717237;04.11.2024;10:47:17;19.5;0;360;338;0;0;346;
1730718140;04.11.2024;11:02:20;19.3;0;353;353;0;0;338;
1730719044;04.11.2024;11:17:24;19.2;0;346;338;0;0;353;
1730719947;04.11.2024;11:32:27;20.1;0;346;378;0;0;353;
1730720850;04.11.2024;11:47:30;20.3;0;360;338;0;0;331;
1730721753;04.11.2024;12:02:33;20.7;0;346;346;0;0;346;
1730722656;04.11.2024;12:17:36;20.2;0;360;346;0;0;353;
1730723559;04.11.2024;12:32:39;19.9;0;338;353;0;0;346;
1730724462;04.11.2024;12:47:42;20.5;0;346;346;0;0;346;
1730725366;04.11.2024;13:02:46;20.4;0;367;353;0;0;346;
1730726269;04.11.2024;13:17:49;20.3;0;360;371;0;0;346;
1730727172;04.11.2024;13:32:52;20.6;0;353;353;0;0;353;
1730728075;04.11.2024;13:47:55;20.4;0;346;346;0;0;353;
